Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9
16,463,680,222,60,593,596,586,329,645
771,502,436,182,629,716,97,384,557,404
31,197,856,187,106,191,310,480,144,169
510,423,485,393,789,48,213,72,981,171
742,615,158,910,447,572,471,946,335,784
401,468,274,349,888,294,634,451,201,852
70,165,555,800,983,601,911,329,666,260
575,728,329,792,952,863,504,618,39,117
652,180,33,749,303,44,58,357,477,227
819,812,921,229,436,909,315,871,928,587
676,92,496,318,789,762,531,852,378,307
128,934,739,665,756,661,766,169,329,417
89,294,421,535,288,800,244,483,804,136
785,142,226,708,374,869,401,964,635,845
291,238,940,214,65,802,319,553,396,217
246,515,994,29,401,375,849,925,566,489
79,930,183,188,924,785,764,487,20,364
316,717,362,72,447,820,601,668,976,969
10,880,628,54,873,142,681,465,179,448
735,142,269,926,893,72,124,243,570,63
367,656,875,150,874,156,33,345,844,200
941,757,785,762,103,843,343,248,548,741
260,338,694,73,670,762,482,975,583,465
267,590,73,117,761,434,492,960,807,236
890,291,289,582,31,890,93,206,690,144
189,961,791,921,116,859,458,419,345,120
998,286,690,854,202,355,441,716,477,52
513,774,122,486,728,771,523,335,645,174
338,174,243,958,547,325,691,477,404,658
964,771,307,254,968,469,647,690,70,430
12,498,849,289,746,787,751,525,148,224
187,770,124,338,939,667,579,478,295,146
56,29,53,91,757,684,403,697,826,514
297,552,77,897,440,357,657,947,954,35
254,63,381,455,616,373,746,974,901,310
537,430,768,861,993,851,893,236,357,451
38,524,844,66,859,46,745,491,981,441
271,447,425,524,693,181,231,804,764,889
677,975,195,496,880,33,828,110,924,690
258,545,64,231,87,380,832,250,489,772
132,451,721,492,728,529,270,507,314,363
14,870,575,850,589,460,795,502,631,603
299,324,528,788,374,967,459,172,124,802
270,704,296,190,577,62,520,894,812,105
975,86,31,411,215,952,760,300,933,719
294,464,830,980,379,418,203,978,952,203
878,453,471,626,911,810,690,860,122,938
188,846,441,142,74,31,941,905,204,213
133,424,881,57,732,41,60,736,506,399
876,962,800,574,437,307,905,677,985,314
655,563,953,759,873,733,802,863,642,738
987,779,943,693,191,574,982,922,699,304
817,819,390,322,341,951,70,409,934,624
232,277,94,524,654,232,161,698,537,722
581,29,770,942,501,182,629,620,74,952
256,864,256,397,473,496,66,849,545,17
682,393,40,261,400,579,143,577,476,778
429,325,755,711,757,794,807,905,848,731
37,197,227,132,775,50,653,53,829,129
612,638,612,504,249,939,73,214,444,182
410,442,245,991,766,928,417,894,992,403
577,892,389,410,377,262,142,303,696,401
55,757,145,568,401,841,870,338,851,799
648,192,865,915,882,823,789,999,412,841
997,400,675,806,492,443,690,716,647,550
144,313,259,596,177,511,416,457,784,928
370,207,113,685,992,507,519,898,800,660
324,528,405,162,903,20,321,235,612,963
971,956,945,677,649,25,261,376,833,562
540,980,658,49,907,922,861,732,813,542
479,758,753,379,33,106,468,19,226,165
854,451,849,464,635,778,995,228,257,23
910,329,72,391,83,359,751,434,427,987
728,334,803,629,619,138,433,407,555,660
799,154,230,277,930,834,547,417,749,117
983,263,366,254,404,92,274,406,600,828
740,107,418,415,302,943,404,949,427,225
882,751,20,773,173,575,408,928,768,985
506,397,521,602,594,56,450,681,872,923
968,498,833,721,501,432,714,327,838,429
245,112,559,683,774,630,672,311,890,685
850,325,517,109,894,901,240,107,59,834
866,175,905,427,360,592,335,616,52,578
195,454,954,336,192,260,415,330,200,800
343,493,174,873,539,590,578,595,380,132
46,248,749,37,873,604,452,605,556,891
286,809,453,299,850,685,313,268,765,145
394,388,609,883,245,633,39,876,63,733
151,517,692,132,137,200,635,624,590,789
171,418,40,883,96,824,744,411,645,483
330,781,160,757,328,247,261,343,886,960
395,876,290,930,759,173,143,98,650,313
199,944,371,676,51,29,324,407,578,867
53,834,109,753,762,342,271,127,639,264
406,791,709,858,543,473,480,665,162,800
538,141,167,51,605,834,617,627,798,148
343,472,18,329,598,793,514,826,535,935
223,128,164,661,213,835,518,640,329,779
488,815,790,355,664,918,678,373,565,609
177,856,764,518,882,205,320,674,206,752
44,770,776,405,283,133,74,310,863,218
353,280,916,438,859,713,444,616,612,708
962,620,842,941,877,190,632,92,130,808
549,37,153,610,935,437,410,396,152,477
562,12,542,746,550,693,780,179,859,836
637,993,82,216,707,82,749,620,42,352
136,233,888,517,698,903,887,226,322,854
571,529,457,360,971,412,269,862,37,709
15,74,284,907,976,348,268,206,440,86
550,507,710,40,951,340,192,986,710,977
381,650,935,564,646,804,85,990,960,57
466,261,18,419,682,165,989,117,805,234
119,370,386,818,560,439,493,239,934,700
141,580,458,424,901,546,359,447,59,308
466,233,406,755,264,248,959,426,928,604
866,773,709,800,938,321,380,493,835,26
137,149,758,432,951,923,878,677,278,757
901,973,715,592,702,780,506,480,170,784
745,504,52,204,174,525,968,22,111,630
326,747,204,192,892,765,893,890,910,255
981,956,255,125,947,147,382,544,487,902
595,995,473,931,983,637,628,504,164,827
464,899,168,892,299,381,568,920,265,874
839,908,541,946,249,248,183,961,973,381
928,494,925,705,390,213,640,785,961,879
623,947,631,378,613,868,343,580,742,758
886,274,616,166,360,169,454,893,516,256
370,93,312,387,209,833,405,90,683,352
198,282,506,795,896,688,617,908,41,54
925,738,940,258,676,946,654,255,254,164
897,571,744,909,608,550,227,960,35,412
711,392,861,63,412,610,899,340,773,444
415,188,946,929,734,779,542,373,669,189
256,71,372,800,921,630,531,749,743,611
808,965,186,585,29,394,718,796,180,201
547,699,764,807,462,213,563,908,448,280
657,232,429,116,740,674,715,562,298,174
938,16,256,498,767,72,150,863,992,64
64,913,799,520,489,766,951,830,208,210
461,577,709,586,535,893,323,385,573,578
834,515,337,556,658,140,311,247,620,47
875,401,221,397,240,944,742,282,514,985
698,872,866,42,933,90,979,374,763,612
851,962,721,757,29,120,632,988,679,992
156,684,76,877,366,881,499,188,836,938
111,782,669,205,540,371,403,736,370,55
313,683,869,899,353,514,121,361,678,968
756,529,150,397,651,128,890,32,700,717
107,334,993,498,102,740,50,82,101,197
336,85,51,306,241,78,512,902,768,668
809,86,705,277,549,291,792,642,422,614
601,441,375,988,367,242,808,44,664,174
511,345,445,569,523,746,126,361,618,169
984,985,180,110,892,50,925,162,832,498
840,123,465,976,922,248,163,279,253,868
585,23,989,702,274,819,281,417,846,195
779,864,898,138,293,175,559,790,501,313
844,740,277,471,671,133,448,665,187,110
117,477,849,445,954,212,295,575,519,975
321,352,450,483,996,371,107,204,949,867
857,427,999,930,115,72,136,860,169,177
423,906,773,706,970,72,369,89,904,619
225,130,18,519,40,131,379,133,896,709
944,63,212,936,157,493,283,520,487,838
405,592,487,599,570,966,232,15,319,585
809,416,727,97,409,297,114,140,124,522
270,35,447,948,359,246,13,360,327,929
122,305,397,828,307,32,97,373,70,964
775,307,808,833,865,212,616,518,110,794
120,743,868,678,793,14,164,748,530,179
421,934,114,263,721,779,220,654,927,120
810,708,556,684,260,623,23,419,638,800
694,65,290,776,274,481,415,91,253,44
956,499,489,74,821,317,202,120,622,311
317,139,399,569,13,629,620,882,475,970
811,961,208,464,343,112,852,99,523,85
187,891,596,199,926,845,50,802,594,683
269,332,408,147,897,621,309,790,114,264
361,854,757,330,718,775,10,398,338,28
402,892,560,342,57,823,990,349,765,343
359,671,43,861,981,896,229,976,236,595
562,624,127,203,12,306,484,377,310,437
170,788,84,958,73,223,590,778,944,826
981,227,84,584,608,644,949,388,751,139
511,324,25,629,600,878,209,246,459,934
631,195,764,999,664,619,71,428,11,291
806,924,259,529,421,898,946,307,699,374
149,463,326,597,431,829,919,332,746,997
345,905,883,665,817,482,314,675,228,715
459,976,349,129,748,17,830,639,474,413
505,620,691,260,411,254,878,873,436,890
269,129,74,829,272,128,954,271,145,881
121,890,196,149,614,460,933,549,448,538
407,656,409,410,243,574,975,972,118,172
373,138,279,122,858,719,682,937,666,548
804,92,369,401,922,386,716,108,261,991
571,272,825,66,265,730,97,790,810,951
966,496,423,607,704,96,674,105,214,121
148,524,762,183,213,277,151,946,380,575
487,579,243,510,311,389,737,681,399,390
795,65,924,561,838,625,550,137,793,280
433,722,615,164,489,413,605,785,849,240
